"Please create your account using this link: %s", "Pour créer votre compte, vous pouvez utiliser le lien suivant : %s"
"%s (latest version available: %s)","%s (dernière version disponible : %s)"
"Create my referral program","Créez mon compte"
"Configuration","Configuration"
"Create Account","Créez mon compte"
"Reports","Statistiques"
"We Love Customers provides an easy-to-use and powerful referral program platform for VSB, SMB and e-merchants.","We Love Customers fournit une solution simple et innovante de gestion des parrainages clients pour les commerçants, e-commerçants et réseaux de distributions."
"Module version","Version du module"
"API key","Clef API"
"API Glue","Glue API"
"Find more information on our website WeLoveCustomers","Plus d'informations sur la plateforme Welovecustomers"
"Go to Advanced Reporting", "Accèder au tableau de bord avancé"
"Sponsorship", "Parrainage"
"NPS Score", "Score NPS"
"Godfather offer", "Offre parrain"
"Godson offer", "Offre filleul"
"Invitations","Nombre d'invitations"
"Godfather","Parrains"
"Godson", "Filleuls"
